Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RPL_POWER.PrjPcb|ReportField=ProjectFullPath~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_POWER.PrjPcb|ReportField=Title~Bill of Materials For Project [RPL_POWER.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~366|ReportField=ReportTime~8:47:54 AM|ReportField=ReportDate~12/29/2017|ReportField=ReportDateTime~12/29/2017 8:47:54 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/29/2017|ReportField=CurrentTime~8:44:03 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_MAP.SchDoc|ReportField=DocumentName~RPL_MAP.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/28/2017|ReportField=Organization~|ReportField=ProjectName~RPL_POWER.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Multi Sheets View|ReportField=DataSourceFileName~RPL_POWER.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_POWER.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|BME280|Integrated pressure, humidity and temperature sensor; 8-pin 2.5x2.5x0.93mm LGA|BME1_7|BME280|BME280|1
2|BNO055|BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion|BNO1_7|LGA28R50P4X10_380X520X100|BNO055|1
3|Cap||C1_1, C1_7, C2_7, C4_7, C5_7, C6_7, C7_7, C8-2_1, C8_1, C8_7, C9_7, C10_7, C11_7, C12_7, C13_7|C1206C475K5PACTU|Cap|15
4|Cap||C1_2, C1_3, C1_4, C2_2, C2_3, C2_4, C3_2, C3_3, C3_4, C4_2, C4_3, C4_4, C5_1, C5_2, C5_3, C5_4, C6_2, C6_3, C6_4, C7_4, C14_7, C15_7|C0402T104K4RACTU|Cap|22
5|Cap||C1_5_U_RPL_TEMP1, C1_5_U_RPL_TEMP2, C1_5_U_RPL_TEMP3, C1_5_U_RPL_TEMP4, C1_5_U_RPL_TEMP5, C1_5_U_RPL_TEMP6, C1_5_U_RPL_TEMP7, C1_5_U_RPL_TEMP8, C2_5_U_RPL_TEMP1, C2_5_U_RPL_TEMP2, C2_5_U_RPL_TEMP3, C2_5_U_RPL_TEMP4, C2_5_U_RPL_TEMP5, C2_5_U_RPL_TEMP6, C2_5_U_RPL_TEMP7, C2_5_U_RPL_TEMP8, C3_5_U_RPL_TEMP1, C3_5_U_RPL_TEMP2, C3_5_U_RPL_TEMP3, C3_5_U_RPL_TEMP4, C3_5_U_RPL_TEMP5, C3_5_U_RPL_TEMP6, C3_5_U_RPL_TEMP7, C3_5_U_RPL_TEMP8||Cap|24
6|Cap||C1_6, C1_8, C2_6, C2_8, C3_6, C3_8, C4_1, C4_6, C4_8, C5_6, C5_8, C6_6, C6_8, C7_6, C8_6, C9_6, C10_1, C10_6, C11_6|C0805C475K9RACAUTO|Cap|19
7|100V||C1_9_U_RPL_POWER_SOLENOIDS_REV21, C1_9_U_RPL_POWER_SOLENOIDS_REV22, C1_9_U_RPL_POWER_SOLENOIDS_REV23, C1_9_U_RPL_POWER_SOLENOIDS_REV24, C1_9_U_RPL_POWER_SOLENOIDS_REV25, C1_9_U_RPL_POWER_SOLENOIDS_REV26, C1_9_U_RPL_POWER_SOLENOIDS_REV27, C1_9_U_RPL_POWER_SOLENOIDS_REV28, C1_9_U_RPL_POWER_SOLENOIDS_REV29, C1_9_U_RPL_POWER_SOLENOIDS_REV210, C1_9_U_RPL_POWER_SOLENOIDS_REV211, C1_9_U_RPL_POWER_SOLENOIDS_REV212, C1_9_U_RPL_POWER_SOLENOIDS_REV213, C1_9_U_RPL_POWER_SOLENOIDS_REV214, C1_9_U_RPL_POWER_SOLENOIDS_REV215, C1_9_U_RPL_POWER_SOLENOIDS_REV216|(1210) CAPC3225X280|Cap Elec|16
8|Rser=5.1K||C2_1|GRM033R60G474ME90E|Cap|1
9|Cap||C3_1|CAPC1005X55N|Cap|1
10|Cap||C6_1, C7_1|CC0402KRX7R7BB104|Cap|2
